timestamp,model,graph,features,graph_features,runs,target,mae_mean,mae_std,mae_stderr,r2_mean,r2_std,status,error
2026-01-12T12:17:15.876584,lightgbm,us26,distribution,yes,20,avgHighestSlot,4.682,0.851,0.19,0.424,0.144,success,
2026-01-12T12:17:15.876595,lightgbm,us26,distribution,yes,20,sumOfSlots,84.233,13.804,3.087,0.734,0.082,success,
2026-01-12T12:17:15.876605,lightgbm,us26,distribution,yes,20,avgActiveTransceivers,3.749,0.51,0.114,0.491,0.205,success,
2026-01-12T12:17:19.403485,lightgbm,us26,distribution,no,20,highestSlot,23.277,3.146,0.704,-0.493,0.295,success,
2026-01-12T12:17:19.403518,lightgbm,us26,distribution,no,20,avgHighestSlot,6.421,1.094,0.245,-0.283,0.216,success,
2026-01-12T12:17:19.403528,lightgbm,us26,distribution,no,20,sumOfSlots,170.661,23.565,5.269,-0.117,0.248,success,
2026-01-12T12:17:19.403539,lightgbm,us26,distribution,no,20,avgActiveTransceivers,3.637,0.488,0.109,0.522,0.215,success,
2026-01-12T12:17:24.915212,lightgbm,us26,traffic,yes,20,highestSlot,19.771,2.737,0.612,-0.026,0.285,success,
2026-01-12T12:17:24.915247,lightgbm,us26,traffic,yes,20,avgHighestSlot,4.268,0.722,0.162,0.496,0.153,success,
2026-01-12T12:17:24.915258,lightgbm,us26,traffic,yes,20,sumOfSlots,102.32,15.362,3.435,0.61,0.152,success,
2026-01-12T12:17:24.915267,lightgbm,us26,traffic,yes,20,avgActiveTransceivers,5.254,0.704,0.157,-0.014,0.174,success,
2026-01-12T12:17:28.370958,lightgbm,us26,traffic,no,20,highestSlot,20.405,3.191,0.713,-0.198,0.355,success,
2026-01-12T12:17:28.371003,lightgbm,us26,traffic,no,20,avgHighestSlot,6.119,0.874,0.195,-0.117,0.184,success,
2026-01-12T12:17:28.371016,lightgbm,us26,traffic,no,20,sumOfSlots,180.764,22.76,5.089,-0.196,0.221,success,
2026-01-12T12:17:28.371028,lightgbm,us26,traffic,no,20,avgActiveTransceivers,4.687,0.781,0.175,0.188,0.243,success,
2026-01-12T12:17:34.472617,lightgbm,us26,all,yes,20,highestSlot,19.212,2.993,0.669,-0.005,0.335,success,
